N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_b2_price_A,wu_b2_price_B,wu_b2_price_C,wu_b2_price_D,wu_b2_price_F,wu_b2_price_delta_sec,wu_b2_price_enabled,wu_b2_price_ref_A,wu_b2_price_ref_B,wu_b2_price_ref_C,wu_b2_price_ref_D,wu_b2_price_ref_F,wu_b2_price_refresh_count,wu_b2_price_refreshed,wu_b2_price_trust_sec,wu_faithful_active
822.4525180784859,6000.0,82.48870850005187,75.0,9.0,0.0,481.0,10,0.04051455794347043,-0.060718301361812665,-0.055455741453126706,-0.07357685037019732,-0.00563446328989714,6.0,1.0,56.0,56.0,56.0,56.0,62.0,5.0,1.0,6.0,1.0
879.3838274374202,6000.0,72.97031560004689,74.0,8.0,0.0,475.0,11,0.04051455794347043,-0.060718301361812665,-0.055455741453126706,-0.07357685037019732,-0.00563446328989714,6.0,1.0,56.0,56.0,56.0,56.0,62.0,5.0,0.0,6.0,1.0
887.6481400879279,6000.0,77.20567990001291,74.0,8.0,0.0,479.0,12,0.04138477328907334,-0.09049979489993176,-0.02726124433320646,-0.07896608622514982,-0.14889705429273953,6.0,1.0,56.0,56.0,56.0,56.0,56.0,6.0,1.0,6.0,1.0
857.6129625449479,6000.0,68.83648530009668,74.0,8.0,0.0,477.0,13,0.04138477328907334,-0.09049979489993176,-0.02726124433320646,-0.07896608622514982,-0.14889705429273953,6.0,1.0,56.0,56.0,56.0,56.0,56.0,6.0,0.0,6.0,1.0
932.021310209137,6000.0,66.09247909998521,74.0,8.0,0.0,480.0,14,0.04138477328907334,-0.09049979489993176,-0.02726124433320646,-0.07896608622514982,-0.14889705429273953,6.0,1.0,56.0,56.0,56.0,56.0,56.0,6.0,0.0,6.0,1.0
856.6923401558705,6000.0,66.5209012000123,74.0,8.0,0.0,482.0,15,0.04138477328907334,-0.09049979489993176,-0.02726124433320646,-0.07896608622514982,-0.14889705429273953,6.0,1.0,56.0,56.0,56.0,56.0,56.0,6.0,0.0,6.0,1.0
861.9341830865187,6000.0,65.60058839991689,74.0,8.0,1.0,285.0,16,0.04138477328907334,-0.09049979489993176,-0.02726124433320646,-0.07896608622514982,-0.14889705429273953,6.0,1.0,56.0,56.0,56.0,56.0,56.0,6.0,0.0,6.0,1.0
853.4930967245098,6000.0,63.02983470004983,74.0,8.0,1.0,287.0,17,0.03564065914238723,-0.07090991438897379,-0.07765842663460368,-0.11395447676098795,-0.0719051483186619,6.0,1.0,56.0,56.0,56.0,56.0,62.0,7.0,1.0,6.0,1.0
822.806679269693,6000.0,67.27885979996063,74.0,8.0,0.0,489.0,18,0.0034203969683956528,-0.08400613041192864,-0.10738710062681218,0.12274347100022204,-0.03943843331567172,6.0,1.0,56.0,56.0,62.0,62.0,62.0,8.0,1.0,6.0,1.0
861.958942767033,6000.0,67.41383760003373,74.0,8.0,0.0,460.0,19,0.037854134799479966,-0.06599626102065706,-0.08709544506166036,-0.09623790710717883,-0.05792612621982793,6.0,1.0,56.0,56.0,62.0,56.0,62.0,9.0,1.0,6.0,1.0
806.9728969061571,6000.0,74.01281900005415,75.0,9.0,1.0,276.0,20,0.020281585047387158,-0.08121494592914096,-0.0824871931559243,0.01617444838025258,-0.012766378569262956,6.0,1.0,56.0,56.0,62.0,56.0,62.0,10.0,1.0,6.0,1.0
830.553548796471,6000.0,66.87800110003445,74.0,8.0,0.0,474.0,21,0.031333198468015744,-0.06786417955572939,-0.02763421705248137,-0.029423752449412977,0.030666283555010665,6.0,1.0,56.0,56.0,68.0,62.0,68.0,11.0,1.0,6.0,1.0
