N_P_star,N_UF_star,computation_time_sec,leader_candidate_count,leader_full_evaluated_count,leader_serial_override,solver_evaluations,step,wu_faithful_active,wu_faithful_np_bias_ratio,wu_faithful_np_cand_lambda,wu_faithful_np_cand_lambda_applied,wu_faithful_np_feasible_max,wu_faithful_np_feasible_min,wu_faithful_np_original_target,wu_faithful_np_pd_exit,wu_faithful_np_pd_iters,wu_faithful_np_pd_lam_entry,wu_faithful_np_pd_residual,wu_faithful_np_predictor_current_interval,wu_faithful_np_predictor_legacy,wu_faithful_np_predictor_mode_code,wu_faithful_np_predictor_phase_substep,wu_faithful_np_predictor_storage_aware,wu_faithful_np_projected_target,wu_faithful_np_projection_residual,wu_faithful_np_sum_nin,wu_faithful_np_target,wu_faithful_np_target_error
0.0,0.0,1.8073639000067487,0.0,0.0,0.0,360.0,34,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,746.8240852779869,0.0,746.8240852779869
0.0,0.0,1.6674309000372887,0.0,0.0,0.0,348.0,35,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,670.7821355771383,0.0,670.7821355771383
0.0,0.0,1.802428599970881,0.0,0.0,0.0,348.0,36,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,664.0655374863297,0.0,664.0655374863297
0.0,0.0,1.761078700015787,0.0,0.0,0.0,334.0,37,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,637.5593316468525,0.0,637.5593316468525
0.0,0.0,1.8204169999808073,0.0,0.0,0.0,341.0,38,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,614.3564795991605,0.0,614.3564795991605
0.0,0.0,1.7188766000326723,0.0,0.0,0.0,323.0,39,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,561.1779216974803,0.0,561.1779216974803
0.0,0.0,1.6844840999692678,0.0,0.0,0.0,346.0,40,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,491.75731793295427,0.0,491.75731793295427
0.0,0.0,1.7157672999892384,0.0,0.0,0.0,325.0,41,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,457.42685153265256,0.0,457.42685153265256
0.0,0.0,1.7710329000256024,0.0,0.0,0.0,365.0,42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,386.8459768354086,0.0,386.8459768354086
0.0,0.0,1.8361826000036672,0.0,0.0,0.0,329.0,43,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,378.7451886608453,0.0,378.7451886608453
0.0,0.0,1.9335689999861643,0.0,0.0,0.0,315.0,44,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,291.4116916286083,0.0,291.4116916286083
0.0,0.0,1.7971276000025682,0.0,0.0,0.0,315.0,45,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,324.87413452107006,0.0,324.87413452107006
0.0,0.0,1.6966101999860257,0.0,0.0,0.0,311.0,46,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,283.7655275646134,0.0,283.7655275646134
0.0,0.0,1.7689992999657989,0.0,0.0,0.0,343.0,47,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,363.45722391798193,0.0,363.45722391798193
0.0,0.0,1.7572168999467976,0.0,0.0,0.0,339.0,48,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,354.5065590443927,0.0,354.5065590443927
0.0,0.0,1.6717200999846682,0.0,0.0,0.0,315.0,49,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,362.64850636215255,0.0,362.64850636215255
0.0,0.0,1.6955216000205837,0.0,0.0,0.0,315.0,50,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,304.8592013585392,0.0,304.8592013585392
0.0,0.0,1.749462699983269,0.0,0.0,0.0,341.0,51,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,288.4179479135337,0.0,288.4179479135337
0.0,0.0,1.866229800041765,0.0,0.0,0.0,341.0,52,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,234.0413583006728,0.0,234.0413583006728
0.0,0.0,1.7231690000044182,0.0,0.0,0.0,316.0,53,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,268.2479105029912,0.0,268.2479105029912
